easting,northing,tmi,relative_magnetic_anomaly,crs,cell_size_m
533571.9306681117,7611933.325619485,53756.39,139.60499999999593,EPSG:25835,12.5
533584.4306681117,7611933.325619485,53756.39,139.60499999999593,EPSG:25835,12.5
533596.9306681117,7611933.325619485,53756.39,139.60499999999593,EPSG:25835,12.5
533609.4306681117,7611933.325619485,53743.03,126.24499999999534,EPSG:25835,12.5
533621.9306681117,7611933.325619485,53743.03,126.24499999999534,EPSG:25835,12.5
533634.4306681117,7611933.325619485,53725.32,108.53499999999622,EPSG:25835,12.5
533646.9306681117,7611933.325619485,53725.32,108.53499999999622,EPSG:25835,12.5
533659.4306681117,7611933.325619485,53725.32,108.53499999999622,EPSG:25835,12.5
533671.9306681117,7611933.325619485,53720.32,103.53499999999622,EPSG:25835,12.5
533684.4306681117,7611933.325619485,53720.32,103.53499999999622,EPSG:25835,12.5
533696.9306681117,7611933.325619485,53720.32,103.53499999999622,EPSG:25835,12.5
533709.4306681117,7611933.325619485,53725.31,108.52499999999418,EPSG:25835,12.5
533721.9306681117,7611933.325619485,53725.31,108.52499999999418,EPSG:25835,12.5
533734.4306681117,7611933.325619485,53725.31,108.52499999999418,EPSG:25835,12.5
533746.9306681117,7611933.325619485,53742.15,125.36499999999796,EPSG:25835,12.5
533759.4306681117,7611933.325619485,53742.15,125.36499999999796,EPSG:25835,12.5
533771.9306681117,7611933.325619485,53742.15,125.36499999999796,EPSG:25835,12.5
533784.4306681117,7611933.325619485,53756.58,139.79499999999825,EPSG:25835,12.5
533796.9306681117,7611933.325619485,53756.58,139.79499999999825,EPSG:25835,12.5
533809.4306681117,7611933.325619485,53756.58,139.79499999999825,EPSG:25835,12.5
533821.9306681117,7611933.325619485,53759.3,142.51499999999942,EPSG:25835,12.5
533834.4306681117,7611933.325619485,53759.3,142.51499999999942,EPSG:25835,12.5
533846.9306681117,7611933.325619485,53759.3,142.51499999999942,EPSG:25835,12.5
533859.4306681117,7611933.325619485,53746.07,129.28499999999622,EPSG:25835,12.5
533871.9306681117,7611933.325619485,53746.07,129.28499999999622,EPSG:25835,12.5
533884.4306681117,7611933.325619485,53732.97,116.18499999999767,EPSG:25835,12.5
533896.9306681117,7611933.325619485,53732.97,116.18499999999767,EPSG:25835,12.5
533909.4306681117,7611933.325619485,53732.97,116.18499999999767,EPSG:25835,12.5
533921.9306681117,7611933.325619485,53714.56,97.77499999999418,EPSG:25835,12.5
533934.4306681117,7611933.325619485,53714.56,97.77499999999418,EPSG:25835,12.5
533946.9306681117,7611933.325619485,53714.56,97.77499999999418,EPSG:25835,12.5
533959.4306681117,7611933.325619485,53707.05,90.26499999999942,EPSG:25835,12.5
533971.9306681117,7611933.325619485,53707.05,90.26499999999942,EPSG:25835,12.5
533984.4306681117,7611933.325619485,53715.53,98.74499999999534,EPSG:25835,12.5
533996.9306681117,7611933.325619485,53715.53,98.74499999999534,EPSG:25835,12.5
534009.4306681117,7611933.325619485,53715.53,98.74499999999534,EPSG:25835,12.5
534021.9306681117,7611933.325619485,53715.53,98.74499999999534,EPSG:25835,12.5
534034.4306681117,7611933.325619485,53715.53,98.74499999999534,EPSG:25835,12.5
534046.9306681117,7611933.325619485,53746.24,129.45499999999447,EPSG:25835,12.5
534059.4306681117,7611933.325619485,53746.24,129.45499999999447,EPSG:25835,12.5
534071.9306681117,7611933.325619485,53765.63,148.8449999999939,EPSG:25835,12.5
534084.4306681117,7611933.325619485,53765.63,148.8449999999939,EPSG:25835,12.5
534096.9306681117,7611933.325619485,53760.48,143.6949999999997,EPSG:25835,12.5
534109.4306681117,7611933.325619485,53760.48,143.6949999999997,EPSG:25835,12.5
534121.9306681117,7611933.325619485,53760.48,143.6949999999997,EPSG:25835,12.5
534134.4306681117,7611933.325619485,53760.48,143.6949999999997,EPSG:25835,12.5
534146.9306681117,7611933.325619485,53743.3,126.51499999999942,EPSG:25835,12.5
534159.4306681117,7611933.325619485,53743.3,126.51499999999942,EPSG:25835,12.5
534171.9306681117,7611933.325619485,53726.81,110.02499999999418,EPSG:25835,12.5
534184.4306681117,7611933.325619485,53726.81,110.02499999999418,EPSG:25835,12.5
534196.9306681117,7611933.325619485,53715.5,98.71499999999651,EPSG:25835,12.5
534209.4306681117,7611933.325619485,53715.5,98.71499999999651,EPSG:25835,12.5
534221.9306681117,7611933.325619485,53715.5,98.71499999999651,EPSG:25835,12.5
534234.4306681117,7611933.325619485,53716.42,99.63499999999476,EPSG:25835,12.5
534246.9306681117,7611933.325619485,53716.42,99.63499999999476,EPSG:25835,12.5
534259.4306681117,7611933.325619485,53716.42,99.63499999999476,EPSG:25835,12.5
534271.9306681117,7611933.325619485,53716.42,99.63499999999476,EPSG:25835,12.5
534284.4306681117,7611933.325619485,53729.38,112.59499999999389,EPSG:25835,12.5
534296.9306681117,7611933.325619485,53729.38,112.59499999999389,EPSG:25835,12.5
534309.4306681117,7611933.325619485,53763.05,146.26499999999942,EPSG:25835,12.5
534321.9306681117,7611933.325619485,53763.05,146.26499999999942,EPSG:25835,12.5
534334.4306681117,7611933.325619485,53763.05,146.26499999999942,EPSG:25835,12.5
534346.9306681117,7611933.325619485,53763.05,146.26499999999942,EPSG:25835,12.5
534359.4306681117,7611933.325619485,53785.03,168.24499999999534,EPSG:25835,12.5
534371.9306681117,7611933.325619485,53785.03,168.24499999999534,EPSG:25835,12.5
534384.4306681117,7611933.325619485,53785.03,168.24499999999534,EPSG:25835,12.5
534396.9306681117,7611933.325619485,53787.84,171.05499999999302,EPSG:25835,12.5
534409.4306681117,7611933.325619485,53787.84,171.05499999999302,EPSG:25835,12.5
534421.9306681117,7611933.325619485,53772.2,155.4149999999936,EPSG:25835,12.5
534434.4306681117,7611933.325619485,53772.2,155.4149999999936,EPSG:25835,12.5
534446.9306681117,7611933.325619485,53772.2,155.4149999999936,EPSG:25835,12.5
534459.4306681117,7611933.325619485,53745.82,129.03499999999622,EPSG:25835,12.5
534471.9306681117,7611933.325619485,53717.84,101.05499999999302,EPSG:25835,12.5
534484.4306681117,7611933.325619485,53717.84,101.05499999999302,EPSG:25835,12.5
534496.9306681117,7611933.325619485,53717.84,101.05499999999302,EPSG:25835,12.5
534509.4306681117,7611933.325619485,53700.04,83.25499999999738,EPSG:25835,12.5
534521.9306681117,7611933.325619485,53700.04,83.25499999999738,EPSG:25835,12.5
534534.4306681117,7611933.325619485,53700.04,83.25499999999738,EPSG:25835,12.5
534546.9306681117,7611933.325619485,53700.04,83.25499999999738,EPSG:25835,12.5
534559.4306681117,7611933.325619485,53700.04,83.25499999999738,EPSG:25835,12.5
534571.9306681117,7611933.325619485,53697.71,80.92499999999563,EPSG:25835,12.5
534584.4306681117,7611933.325619485,53713.15,96.36499999999796,EPSG:25835,12.5
534596.9306681117,7611933.325619485,53713.15,96.36499999999796,EPSG:25835,12.5
534609.4306681117,7611933.325619485,53713.15,96.36499999999796,EPSG:25835,12.5
532871.9306681117,7611945.825619485,53458.14,-158.64500000000407,EPSG:25835,12.5
532884.4306681117,7611945.825619485,53458.14,-158.64500000000407,EPSG:25835,12.5
532896.9306681117,7611945.825619485,53458.14,-158.64500000000407,EPSG:25835,12.5
532909.4306681117,7611945.825619485,53458.14,-158.64500000000407,EPSG:25835,12.5
532921.9306681117,7611945.825619485,53458.14,-158.64500000000407,EPSG:25835,12.5
532934.4306681117,7611945.825619485,53458.14,-158.64500000000407,EPSG:25835,12.5
532946.9306681117,7611945.825619485,53458.14,-158.64500000000407,EPSG:25835,12.5
532959.4306681117,7611945.825619485,53458.14,-158.64500000000407,EPSG:25835,12.5
532971.9306681117,7611945.825619485,53458.14,-158.64500000000407,EPSG:25835,12.5
532984.4306681117,7611945.825619485,53458.14,-158.64500000000407,EPSG:25835,12.5
532996.9306681117,7611945.825619485,53458.14,-158.64500000000407,EPSG:25835,12.5
533009.4306681117,7611945.825619485,53304.05,-312.7350000000006,EPSG:25835,12.5
533021.9306681117,7611945.825619485,53304.05,-312.7350000000006,EPSG:25835,12.5
533034.4306681117,7611945.825619485,53304.05,-312.7350000000006,EPSG:25835,12.5
533046.9306681117,7611945.825619485,53304.05,-312.7350000000006,EPSG:25835,12.5
533059.4306681117,7611945.825619485,53304.05,-312.7350000000006,EPSG:25835,12.5
533071.9306681117,7611945.825619485,53304.05,-312.7350000000006,EPSG:25835,12.5
533084.4306681117,7611945.825619485,53304.05,-312.7350000000006,EPSG:25835,12.5
533096.9306681117,7611945.825619485,53304.05,-312.7350000000006,EPSG:25835,12.5
533109.4306681117,7611945.825619485,53304.05,-312.7350000000006,EPSG:25835,12.5
533121.9306681117,7611945.825619485,53304.05,-312.7350000000006,EPSG:25835,12.5
533134.4306681117,7611945.825619485,53304.05,-312.7350000000006,EPSG:25835,12.5
533146.9306681117,7611945.825619485,53304.05,-312.7350000000006,EPSG:25835,12.5
533159.4306681117,7611945.825619485,53304.05,-312.7350000000006,EPSG:25835,12.5
533171.9306681117,7611945.825619485,53304.05,-312.7350000000006,EPSG:25835,12.5
533184.4306681117,7611945.825619485,53304.05,-312.7350000000006,EPSG:25835,12.5
533196.9306681117,7611945.825619485,53304.05,-312.7350000000006,EPSG:25835,12.5
533209.4306681117,7611945.825619485,53662.86,46.07499999999709,EPSG:25835,12.5
533221.9306681117,7611945.825619485,53713.3,96.51499999999942,EPSG:25835,12.5
533234.4306681117,7611945.825619485,53798.07,181.28499999999622,EPSG:25835,12.5
533246.9306681117,7611945.825619485,53798.07,181.28499999999622,EPSG:25835,12.5
533259.4306681117,7611945.825619485,53798.07,181.28499999999622,EPSG:25835,12.5
533271.9306681117,7611945.825619485,53798.07,181.28499999999622,EPSG:25835,12.5
533284.4306681117,7611945.825619485,53798.07,181.28499999999622,EPSG:25835,12.5
533296.9306681117,7611945.825619485,53798.07,181.28499999999622,EPSG:25835,12.5
533309.4306681117,7611945.825619485,53798.07,181.28499999999622,EPSG:25835,12.5
533321.9306681117,7611945.825619485,53798.07,181.28499999999622,EPSG:25835,12.5
533334.4306681117,7611945.825619485,53798.07,181.28499999999622,EPSG:25835,12.5
533346.9306681117,7611945.825619485,53798.07,181.28499999999622,EPSG:25835,12.5
533359.4306681117,7611945.825619485,53798.07,181.28499999999622,EPSG:25835,12.5
533371.9306681117,7611945.825619485,53798.07,181.28499999999622,EPSG:25835,12.5
533384.4306681117,7611945.825619485,53798.07,181.28499999999622,EPSG:25835,12.5
533396.9306681117,7611945.825619485,53798.64,181.85499999999593,EPSG:25835,12.5
533409.4306681117,7611945.825619485,53812.95,196.1649999999936,EPSG:25835,12.5
533421.9306681117,7611945.825619485,53825.52,208.7349999999933,EPSG:25835,12.5
533434.4306681117,7611945.825619485,53832.98,216.1949999999997,EPSG:25835,12.5
533446.9306681117,7611945.825619485,53838.88,222.0949999999939,EPSG:25835,12.5
533459.4306681117,7611945.825619485,53837.91,221.125,EPSG:25835,12.5
533471.9306681117,7611945.825619485,53837.43,220.6449999999968,EPSG:25835,12.5
533484.4306681117,7611945.825619485,53832.7,215.9149999999936,EPSG:25835,12.5
533496.9306681117,7611945.825619485,53814.38391930296,197.59891930295998,EPSG:25835,12.5
533509.4306681117,7611945.825619485,53816.102151009436,199.31715100943256,EPSG:25835,12.5
533521.9306681117,7611945.825619485,53810.98122872918,194.19622872917535,EPSG:25835,12.5
533534.4306681117,7611945.825619485,53806.50886050173,189.72386050172645,EPSG:25835,12.5
533546.9306681117,7611945.825619485,53791.7880165004,175.0030165003991,EPSG:25835,12.5
533559.4306681117,7611945.825619485,53775.672659615724,158.88765961572062,EPSG:25835,12.5
533571.9306681117,7611945.825619485,53761.28342229214,144.4984222921339,EPSG:25835,12.5
533584.4306681117,7611945.825619485,53756.39,139.60499999999593,EPSG:25835,12.5
533596.9306681117,7611945.825619485,53743.03,126.24499999999534,EPSG:25835,12.5
533609.4306681117,7611945.825619485,53743.03,126.24499999999534,EPSG:25835,12.5
533621.9306681117,7611945.825619485,53725.32,108.53499999999622,EPSG:25835,12.5
533634.4306681117,7611945.825619485,53725.32,108.53499999999622,EPSG:25835,12.5
533646.9306681117,7611945.825619485,53725.32,108.53499999999622,EPSG:25835,12.5
533659.4306681117,7611945.825619485,53720.32,103.53499999999622,EPSG:25835,12.5
533671.9306681117,7611945.825619485,53720.32,103.53499999999622,EPSG:25835,12.5
533684.4306681117,7611945.825619485,53720.32,103.53499999999622,EPSG:25835,12.5
533696.9306681117,7611945.825619485,53725.31,108.52499999999418,EPSG:25835,12.5
533709.4306681117,7611945.825619485,53725.31,108.52499999999418,EPSG:25835,12.5
533721.9306681117,7611945.825619485,53725.31,108.52499999999418,EPSG:25835,12.5
533734.4306681117,7611945.825619485,53742.15,125.36499999999796,EPSG:25835,12.5
533746.9306681117,7611945.825619485,53742.15,125.36499999999796,EPSG:25835,12.5
533759.4306681117,7611945.825619485,53742.15,125.36499999999796,EPSG:25835,12.5
533771.9306681117,7611945.825619485,53756.58,139.79499999999825,EPSG:25835,12.5
533784.4306681117,7611945.825619485,53756.58,139.79499999999825,EPSG:25835,12.5
533796.9306681117,7611945.825619485,53756.58,139.79499999999825,EPSG:25835,12.5
533809.4306681117,7611945.825619485,53759.3,142.51499999999942,EPSG:25835,12.5
533821.9306681117,7611945.825619485,53759.3,142.51499999999942,EPSG:25835,12.5
533834.4306681117,7611945.825619485,53759.3,142.51499999999942,EPSG:25835,12.5
533846.9306681117,7611945.825619485,53746.07,129.28499999999622,EPSG:25835,12.5
533859.4306681117,7611945.825619485,53746.07,129.28499999999622,EPSG:25835,12.5
533871.9306681117,7611945.825619485,53732.97,116.18499999999767,EPSG:25835,12.5
533884.4306681117,7611945.825619485,53732.97,116.18499999999767,EPSG:25835,12.5
533896.9306681117,7611945.825619485,53732.97,116.18499999999767,EPSG:25835,12.5
533909.4306681117,7611945.825619485,53714.56,97.77499999999418,EPSG:25835,12.5
533921.9306681117,7611945.825619485,53714.56,97.77499999999418,EPSG:25835,12.5
533934.4306681117,7611945.825619485,53714.56,97.77499999999418,EPSG:25835,12.5
533946.9306681117,7611945.825619485,53707.05,90.26499999999942,EPSG:25835,12.5
533959.4306681117,7611945.825619485,53707.05,90.26499999999942,EPSG:25835,12.5
533971.9306681117,7611945.825619485,53715.53,98.74499999999534,EPSG:25835,12.5
533984.4306681117,7611945.825619485,53715.53,98.74499999999534,EPSG:25835,12.5
533996.9306681117,7611945.825619485,53715.53,98.74499999999534,EPSG:25835,12.5
534009.4306681117,7611945.825619485,53715.53,98.74499999999534,EPSG:25835,12.5
534021.9306681117,7611945.825619485,53715.53,98.74499999999534,EPSG:25835,12.5
534034.4306681117,7611945.825619485,53746.24,129.45499999999447,EPSG:25835,12.5
534046.9306681117,7611945.825619485,53746.24,129.45499999999447,EPSG:25835,12.5
534059.4306681117,7611945.825619485,53765.63,148.8449999999939,EPSG:25835,12.5
534071.9306681117,7611945.825619485,53765.63,148.8449999999939,EPSG:25835,12.5
534084.4306681117,7611945.825619485,53760.48,143.6949999999997,EPSG:25835,12.5
534096.9306681117,7611945.825619485,53760.48,143.6949999999997,EPSG:25835,12.5
534109.4306681117,7611945.825619485,53760.48,143.6949999999997,EPSG:25835,12.5
534121.9306681117,7611945.825619485,53760.48,143.6949999999997,EPSG:25835,12.5
534134.4306681117,7611945.825619485,53743.3,126.51499999999942,EPSG:25835,12.5
534146.9306681117,7611945.825619485,53743.3,126.51499999999942,EPSG:25835,12.5
534159.4306681117,7611945.825619485,53726.81,110.02499999999418,EPSG:25835,12.5
534171.9306681117,7611945.825619485,53726.81,110.02499999999418,EPSG:25835,12.5
534184.4306681117,7611945.825619485,53715.5,98.71499999999651,EPSG:25835,12.5
534196.9306681117,7611945.825619485,53715.5,98.71499999999651,EPSG:25835,12.5
534209.4306681117,7611945.825619485,53715.5,98.71499999999651,EPSG:25835,12.5
534221.9306681117,7611945.825619485,53716.42,99.63499999999476,EPSG:25835,12.5
534234.4306681117,7611945.825619485,53716.42,99.63499999999476,EPSG:25835,12.5
534246.9306681117,7611945.825619485,53716.42,99.63499999999476,EPSG:25835,12.5
534259.4306681117,7611945.825619485,53716.42,99.63499999999476,EPSG:25835,12.5
534271.9306681117,7611945.825619485,53729.38,112.59499999999389,EPSG:25835,12.5
534284.4306681117,7611945.825619485,53729.38,112.59499999999389,EPSG:25835,12.5
534296.9306681117,7611945.825619485,53763.05,146.26499999999942,EPSG:25835,12.5
534309.4306681117,7611945.825619485,53763.05,146.26499999999942,EPSG:25835,12.5
534321.9306681117,7611945.825619485,53763.05,146.26499999999942,EPSG:25835,12.5
534334.4306681117,7611945.825619485,53763.05,146.26499999999942,EPSG:25835,12.5
534346.9306681117,7611945.825619485,53785.03,168.24499999999534,EPSG:25835,12.5
534359.4306681117,7611945.825619485,53785.03,168.24499999999534,EPSG:25835,12.5
534371.9306681117,7611945.825619485,53785.03,168.24499999999534,EPSG:25835,12.5
534384.4306681117,7611945.825619485,53787.84,171.05499999999302,EPSG:25835,12.5
534396.9306681117,7611945.825619485,53787.84,171.05499999999302,EPSG:25835,12.5
534409.4306681117,7611945.825619485,53772.2,155.4149999999936,EPSG:25835,12.5
534421.9306681117,7611945.825619485,53772.2,155.4149999999936,EPSG:25835,12.5
534434.4306681117,7611945.825619485,53772.2,155.4149999999936,EPSG:25835,12.5
534446.9306681117,7611945.825619485,53745.82,129.03499999999622,EPSG:25835,12.5
534459.4306681117,7611945.825619485,53717.84,101.05499999999302,EPSG:25835,12.5
534471.9306681117,7611945.825619485,53717.84,101.05499999999302,EPSG:25835,12.5
534484.4306681117,7611945.825619485,53717.84,101.05499999999302,EPSG:25835,12.5
534496.9306681117,7611945.825619485,53700.04,83.25499999999738,EPSG:25835,12.5
534509.4306681117,7611945.825619485,53700.04,83.25499999999738,EPSG:25835,12.5
534521.9306681117,7611945.825619485,53700.04,83.25499999999738,EPSG:25835,12.5
534534.4306681117,7611945.825619485,53700.04,83.25499999999738,EPSG:25835,12.5
534546.9306681117,7611945.825619485,53700.04,83.25499999999738,EPSG:25835,12.5
534559.4306681117,7611945.825619485,53697.71,80.92499999999563,EPSG:25835,12.5
534571.9306681117,7611945.825619485,53713.15,96.36499999999796,EPSG:25835,12.5
534584.4306681117,7611945.825619485,53713.15,96.36499999999796,EPSG:25835,12.5
534596.9306681117,7611945.825619485,53713.15,96.36499999999796,EPSG:25835,12.5
534609.4306681117,7611945.825619485,53731.8,115.01499999999942,EPSG:25835,12.5
532871.9306681117,7611958.325619485,53458.14,-158.64500000000407,EPSG:25835,12.5
532884.4306681117,7611958.325619485,53458.14,-158.64500000000407,EPSG:25835,12.5
532896.9306681117,7611958.325619485,53458.14,-158.64500000000407,EPSG:25835,12.5
